tweet,category,cluster,cause,sentiment,sentiment_score,user_id,user_screen_name,user_followers_count,user_friends_count,user_favourites_count,influence_ratio,user_statuses_count,user_verified,user_description,user_category
how others children saw abortion I call them mr and mrs droop amp Robber hey little boys and girls come here it droop it we can teach you,personal,,Abortion,neutral,0,4139114487,NathansOverflo1,41,53,4111,0.773584906,47098,0,"- adult content.  At times = rude, depressing. DEEPLY DISTURBING  #USNationalArchives",public
0834221739 MAX SAFE ABORTION CLINIC of PRETORIA QUALITY SAME DAY SAFE AND PAIN FREE,promotional,,Abortion,positive,0.429041,3016043988,globclassifieds,2941,1941,0,1.52,37148,0,"""""",businesses
1 3 of people in the world have tuberculosis I of course am one of the third Fortunately it s inactive,educational,,Tuberculosis,positive,0.578934,3240521603,infamousmarti,546,362,3794,1.508287293,11317,0,"""""",public
1 Fig Lesson Very Parent An Learn From a 5 Dear Old Who Saved Her Tom s Life Allison Under celebrity news,educational,,Drowning,positive,0.238511,71281850,MirrorMag,592,282,409,2.09929078,224553,0,"""""",media
1 like 1 I will donate to the avocadolands syphilis society,fundraising,,Syphilis,positive,0.312266,7.30E+17,romanpacify,0,1,0,0,0,0,"""""",public
1 Speed is Life,unrelated,,Sepsis,positive,0.29344,1063460238,XavierVazquezL,323,3100,556,0.104193548,369,0,"""""",public
10 Goods That An Right Breastcancer Take a look,unrelated,,Breast cancer,positive,0.462727,2811726014,keepsakecarpet,84,539,2,0.155844156,84,0,"""""",public
10 Simple Exercises for Hands and Fingers With of in Pictures,educational,,Osteoarthritis,positive,0.604895,2812184228,dankillam1,36,82,73,0.43902439,16233,0,"""""",public
13 Gravity Walls Life Lessons ToonedUp 117 via,unrelated,,Falls,positive,0.218419,63767559,WilTito,216,707,2430,0.306,14600,0,"""""",public
17 you may have lung cancer happy christmas see you in the new year amp I ll let you know for sure then I don t thankful,personal,,lung cancer,positive,0.473755,37889726,mvdn777,255,744,15,0.342741935,36836,0,"""""",public
2 the signs of interpersonal violence as well as tips on how to safely help Also there will be FREE prizes and giveaways every hour,promotional,,Interpersonal violence,positive,0.891548,7.10E+17,NCCSaysNoMore,2,0,0,2,42,0,"""""",interest groups
